window ticks 1870->2561 (691 frames) wall 50.11 s = 72.51 ms/frame, 13.79 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
24857 GameThread 35.80 51.81 71.4
24837 GsWorker 9.46 13.69 18.9
24835 com.ps2x.runner 2.93 4.24 5.8
24855 AAudio_1 0.18 0.26 0.4
24822 binder:24810_1 0.13 0.19 0.3
24859 PGS-Waiter 0.05 0.07 0.1
24864 binder:24810_2 0.03 0.04 0.1
24849 binder:24810_4 0.02 0.03 0.0
24823 binder:24810_2 0.01 0.01 0.0
