window ticks 1949->2552 (603 frames) wall 20.89 s = 34.65 ms/frame, 28.86 vs/s
tid comm cpu run_ms_per_frame wait_ms_per_frame blocked_ms_per_frame cpu_ms_per_frame(proc) slices util_pct
9832 MTVU 7 32.48 0.42 1.75 32.49 6450 93.7
9825 GsWorker 4 32.33 1.87 0.45 32.34 2728 93.3
9826 GsWorker 5 32.08 2.16 0.42 32.07 2984 92.6
9827 GsWorker 6 32.02 2.24 0.38 32.02 2774 92.4
9821 GameThread 6 13.46 0.25 20.94 13.45 1998 38.9
9802 GsWorker 4 9.88 5.25 19.51 9.88 409072 28.5
9820 AAudio_1 3 0.12 0.00 34.52 0.12 2093 0.3
9800 com.ps2x.runner 4 0.07 0.03 34.54 0.07 1950 0.2
9823 PGS-Waiter 1 0.05 0.10 34.50 0.03 2787 0.1
9784 binder:9751_3 5 0.03 0.04 34.57 0.03 872 0.1
9806 binder:9751_4 0 0.02 0.03 34.60 0.02 593 0.1
9801 com.ps2x.runner 5 0.00 0.00 34.64 0.00 33 0.0
9772 FinalizerWatchd 3 0.00 0.00 34.65 0.00 1 0.0
9765 HeapTaskDaemon 2 0.00 0.00 34.65 0.00 1 0.0
9751 com.ps2x.runner 6 0.00 0.00 34.65 0.00 0 0.0
9758 Signal Catcher 3 0.00 0.00 34.65 0.00 0 0.0
9759 perfetto_hprof_ 4 0.00 0.00 34.65 0.00 0 0.0
9761 ADB-JDWP Connec 6 0.00 0.00 34.65 0.00 0 0.0
9763 Jit thread pool 6 0.00 0.00 34.65 0.00 0 0.0
9766 ReferenceQueueD 5 0.00 0.00 34.65 0.00 0 0.0
9770 FinalizerDaemon 2 0.00 0.00 34.65 0.00 0 0.0
9775 binder:9751_1 2 0.00 0.00 34.65 0.00 0 0.0
9777 binder:9751_2 2 0.00 0.00 34.65 0.00 0 0.0
9790 RenderThread 4 0.00 0.00 34.65 0.00 0 0.0
9804 VsyncReceiver 5 0.00 0.00 34.65 0.00 0 0.0
9805 SurfaceSyncGrou 1 0.00 0.00 34.65 0.00 0 0.0
9807 binder:9751_5 2 0.00 0.00 34.65 0.00 0 0.0
9808 InsetsAnimation 1 0.00 0.00 34.65 0.00 0 0.0
9814 com.ps2x.runner 3 0.00 0.00 34.65 0.00 0 0.0
9822 com.ps:traceq0 0 0.00 0.00 34.65 0.00 0 0.0
9829 binder:9751_3 2 0.00 0.00 34.65 0.00 0 0.0
9831 InteractionJank 1 0.00 0.00 34.65 0.00 0 0.0
