window ticks 1949->2552 (603 frames) wall 20.89 s = 34.65 ms/frame, 28.86 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
9832 MTVU 19.61 32.52 93.9
9825 GsWorker 19.53 32.39 93.5
9827 GsWorker 19.38 32.14 92.8
9826 GsWorker 19.30 32.01 92.4
9821 GameThread 8.11 13.45 38.8
9802 GsWorker 5.97 9.90 28.6
9820 AAudio_1 0.07 0.12 0.3
9800 com.ps2x.runner 0.04 0.07 0.2
9823 PGS-Waiter 0.02 0.03 0.1
9784 binder:9751_3 0.02 0.03 0.1
9806 binder:9751_4 0.01 0.02 0.0
