samples=44 last=t+220.4s tick=4536
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.0 | 57.61 | 0.961× | 59.7–59.7 (n=1) |
| main menu | 636→766 | 2.4 | 54.71 | 0.913× | — |
| Select Character | 766→884 | 2.1 | 55.47 | 0.925× | — |
| Setup Character / Peak | 884→1099 | 3.3 | 65.19 | 1.088× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.3 | 54.38 | 0.907× | 60.1–60.1 (n=1) |
| loading + Rival card | 1440→1714 | 13.5 | 20.32 | 0.339× | 59.9–59.9 (n=1) |
| race | 1714→4536 | 181.8 | 15.52 | 0.259× | 59.7–60.4 (n=16) |
race per-5s: 10.2 10.6 11.2 11.4 14.2 14.8 15.0 14.8 15.2 14.8 15.0 16.0 16.2 16.2 16.0 16.0 15.8 16.2 16.2 16.4 16.0 15.8 16.4 16.2 16.4 16.0 15.8 16.2 16.4 16.6 16.2 15.8 17.2 18.0 19.0 20.4
