window ticks 1981->2548 (567 frames) wall 25.17 s = 44.39 ms/frame, 22.53 vs/s
tid comm cpu_s cpu_ms_per_frame util_pct
20839 MTVU 16.27 28.69 64.6
20830 GameThread 7.34 12.95 29.2
20810 GsWorker 5.03 8.87 20.0
20827 AAudio_1 0.08 0.14 0.3
20808 com.ps2x.runner 0.04 0.07 0.2
20832 PGS-Waiter 0.03 0.05 0.1
20805 binder:20790_3 0.02 0.04 0.1
20802 binder:20790_1 0.02 0.04 0.1
