[  458.0177] Bios    :  intrman.023: QueryIntrContext (716717, fffffffe, 0, cf53c8e)
[  458.0177] Bios    :  intrman.017: CpuSuspendIntr (1f6388, fffffffe, 0, cf53c8e)
[  458.0177] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 0, cf53c8e)
[  458.0177] Bios    :  thevent.006: SetEventFlag (716717, 2, 0, cf53c8e)
[  458.0177] Bios    :  intrman.023: QueryIntrContext (716717, 2, 0, cf53c8e)
[  458.0177] Bios    :  intrman.017: CpuSuspendIntr (1f6378, 2, 0, cf53c8e)
[  458.0177] Bios    :  intrman.018: CpuResumeIntr (1, 2, 0, cf53c8e)
[  458.0177] Bios    :  thevent.010: WaitEventFlag (716717, 1400, 1, 1f63d0)
[  458.0177] Bios    :  intrman.023: QueryIntrContext (716717, 1400, 1, 1f63d0)
[  458.0177] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 1400, 1, 1f63d0)
[  458.0177] Bios    :  thevent.010: WaitEventFlag (716717, 2, 0, 0)
[  458.0177] Bios    :  intrman.023: QueryIntrContext (716717, 2, 0, 0)
[  458.0177] Bios    :  intrman.017: CpuSuspendIntr (1f0a70, 2, 0, 0)
[  458.0177] Bios    :  intrman.018: CpuResumeIntr (1, 2, 38b38, 0)
[  458.0177] Bios    :  thevent.008: ClearEventFlag (716717, fffffffd, 38b38, 0)
[  458.0177] Bios    :  intrman.023: QueryIntrContext (716717, fffffffd, 38b38, 0)
[  458.0177] Bios    :  intrman.017: CpuSuspendIntr (1f0a78, fffffffd, 38b38, 0)
[  458.0177] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 38b38, 0)
[  458.0177] Bios    :  sio2man.057:  (505c8, 1, 38b38, 0)
[  458.0177] Bios    :  sio2man.011:  (0, 1, 1, 0)
[  458.0178] Bios    :  sio2man.051:  (50530, 4, 50601, 5)
[  458.0178] Bios    :  thevent.006: SetEventFlag (716717, 400, 50601, 5)
[  458.0178] Bios    :  intrman.023: QueryIntrContext (716717, 400, 50601, 5)
[  458.0178] Bios    :  intrman.017: CpuSuspendIntr (1f0a38, 400, 50601, 5)
[  458.0178] Bios    :  thevent.008: ClearEventFlag (716717, fffffbff, 0, cf53ec0)
[  458.0178] Bios    :  intrman.023: QueryIntrContext (716717, fffffbff, 0, cf53ec0)
[  458.0178] Bios    :  intrman.017: CpuSuspendIntr (1f6388, fffffbff, 0, cf53ec0)
[  458.0178] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 0, cf53ec0)
[  458.0178] Bios    :  thevent.007: iSetEventFlag (716717, 2000, 80000000, 469b4)
[  458.0178] Bios    :  intrman.023: QueryIntrContext (716717, 2000, 80000000, 469b4)
[  458.0179] Bios    :  thevent.007: iSetEventFlag (716717, 2000, 80000000, 469b4)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, 2000, 80000000, 469b4)
[  458.0179] Bios    :  thevent.010: WaitEventFlag (716717, 2000, 0, 0)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, 2000, 0, 0)
[  458.0179] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 2000, 0, 0)
[  458.0179] Bios    :  intrman.018: CpuResumeIntr (1, 2000, 38b38, 0)
[  458.0179] Bios    :  thevent.008: ClearEventFlag (716717, ffffdfff, 38b38, 0)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, ffffdfff, 38b38, 0)
[  458.0179] Bios    :  intrman.017: CpuSuspendIntr (1f6388, ffffdfff, 38b38, 0)
[  458.0179] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 38b38, 0)
[  458.0179] Bios    :  thevent.006: SetEventFlag (716717, 800, 38b38, 0)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, 800, 38b38, 0)
[  458.0179] Bios    :  intrman.017: CpuSuspendIntr (1f6378, 800, 38b38, 0)
[  458.0179] Bios    :  intrman.018: CpuResumeIntr (1, 800, 38b38, 0)
[  458.0179] Bios    :  thevent.010: WaitEventFlag (716717, 1400, 1, 1f63d0)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, 1400, 1, 1f63d0)
[  458.0179] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 1400, 1, 1f63d0)
[  458.0179] Bios    :  thevent.010: WaitEventFlag (716717, 800, 0, 0)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, 800, 0, 0)
[  458.0179] Bios    :  intrman.017: CpuSuspendIntr (1f0a40, 800, 0, 0)
[  458.0179] Bios    :  intrman.018: CpuResumeIntr (1, 800, 38b38, 0)
[  458.0179] Bios    :  thevent.008: ClearEventFlag (716717, fffff7ff, 38b38, 0)
[  458.0179] Bios    :  intrman.023: QueryIntrContext (716717, fffff7ff, 38b38, 0)
[  458.0179] Bios    :  intrman.017: CpuSuspendIntr (1f0a48, fffff7ff, 38b38, 0)
[  458.0179] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 38b38, 0)
[  458.0179] Bios    :  sio2man.057:  (505c8, 1, 0, 15)
[  458.0180] Bios    :  sio2man.052:  (505d8, 1, 1, 15)
[  458.0180] Bios    :  thevent.006: SetEventFlag (716717, 1000, 1, 15)
[  458.0180] Bios    :  intrman.023: QueryIntrContext (716717, 1000, 1, 15)
[  458.0180] Bios    :  intrman.017: CpuSuspendIntr (1f0a68, 1000, 1, 15)
[  458.0180] Bios    :  thevent.008: ClearEventFlag (716717, ffffefff, 0, cf545df)
[  458.0180] Bios    :  intrman.023: QueryIntrContext (716717, ffffefff, 0, cf545df)
[  458.0180] Bios    :  intrman.017: CpuSuspendIntr (1f6388, ffffefff, 0, cf545df)
[  458.0180] Bios    :  intrman.018: CpuResumeIntr (1, 38b38, 0, cf545df)
[  458.0180] Bios    :  thevent.010: WaitEventFlag (716717, 4155, 1, 1f63d0)
[  458.0180] Bios    :  intrman.023: QueryIntrContext (716717, 4155, 1, 1f63d0)
[  458.0180] Bios    :  intrman.017: CpuSuspendIntr (1f6380, 4155, 1, 1f63d0)
[  458.0180] Bios    :  thevent.006: SetEventFlag (12f0c19, 4, 0, ab17442)
[  458.0180] Bios    :  intrman.023: QueryIntrContext (12f0c19, 4, 0, ab17442)
[  458.0180] Bios    :  intrman.017: CpuSuspendIntr (1f0aa0, 4, 0, ab17442)
[  458.0180] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  458.0180] Bios    :  thevent.010: WaitEventFlag (12f0c19, 1001, 1, 1f0ab0)
[  458.0180] Bios    :  intrman.023: QueryIntrContext (12f0c19, 1001, 1, 1f0ab0)
[  458.0180] Bios    :  intrman.017: CpuSuspendIntr (1f0a38, 1001, 1, 1f0ab0)
[  458.0181] Bios    :  thevent.008: ClearEventFlag (12f0c19, fffffffb, 0, cf54bf8)
[  458.0181] Bios    :  intrman.023: QueryIntrContext (12f0c19, fffffffb, 0, cf54bf8)
[  458.0181] Bios    :  intrman.017: CpuSuspendIntr (1f0220, fffffffb, 0, cf54bf8)
[  458.0181] Bios    :  intrman.018: CpuResumeIntr (1, 97860, 0, cf54bf8)
[  458.0181] Bios    :  thevent.006: SetEventFlag (12eea1b, 100, 0, cf54bf8)
[  458.0181] Bios    :  intrman.023: QueryIntrContext (12eea1b, 100, 0, cf54bf8)
[  458.0181] Bios    :  intrman.017: CpuSuspendIntr (1f0280, 100, 0, cf54bf8)
[  458.0181] Bios    :  intrman.018: CpuResumeIntr (1, 97670, 170, e)
[  458.0181] Bios    :  thevent.010: WaitEventFlag (12eea1b, 200, 10, 0)
[  458.0181] Bios    :  intrman.023: QueryIntrContext (12eea1b, 200, 10, 0)
[  458.0181] Bios    :  intrman.017: CpuSuspendIntr (1f0288, 200, 10, 0)
[  458.0181] Bios    :  thevent.008: ClearEventFlag (12eea1b, fffffeff, 0, 105f22ed)
[  458.0181] Bios    :  intrman.023: QueryIntrContext (12eea1b, fffffeff, 0, 105f22ed)
[  458.0181] Bios    :  intrman.017: CpuSuspendIntr (1ef1b8, fffffeff, 0, 105f22ed)
[  458.0181] Bios    :  intrman.018: CpuResumeIntr (1, 97750, 0, 105f22ed)
[  458.0182] Bios    :  thevent.006: SetEventFlag (12eea1b, 200, 15, 4f4b8)
[  458.0182] Bios    :  intrman.023: QueryIntrContext (12eea1b, 200, 15, 4f4b8)
[  458.0182] Bios    :  intrman.017: CpuSuspendIntr (1ef218, 200, 15, 4f4b8)
[  458.0182] Bios    :  intrman.018: CpuResumeIntr (1, 97780, 170, e)
[  458.0182] Bios    :  thevent.010: WaitEventFlag (12eea1b, 1001, 1, 1ef250)
[  458.0182] Bios    :  intrman.023: QueryIntrContext (12eea1b, 1001, 1, 1ef250)
