samples=42 last=t+210.5s tick=4531
| Phase | Ticks | Wall (s) | Guest vsyncs/s | Ratio (÷59.94) | SF presents/s (polls) |
|---|---|---|---|---|---|
| title/startup | 0→636 | 11.1 | 57.42 | 0.958× | 59.6–59.6 (n=1) |
| main menu | 636→766 | 2.2 | 57.90 | 0.966× | — |
| Select Character | 766→884 | 2.0 | 57.90 | 0.966× | — |
| Setup Character / Peak | 884→1099 | 3.5 | 61.98 | 1.034× | — |
| Select Mode / Event / My Rules | 1099→1440 | 6.3 | 53.72 | 0.896× | 60.1–60.1 (n=1) |
| loading + Rival card | 1440→1714 | 12.4 | 22.09 | 0.369× | 59.9–59.9 (n=1) |
| race | 1714→4531 | 172.9 | 16.29 | 0.272× | 59.9–60.4 (n=15) |
race per-5s: 11.2 11.8 11.8 12.6 15.4 16.0 15.0 15.6 15.6 15.6 16.4 17.0 17.0 17.4 16.8 16.4 16.6 17.0 17.6 16.6 16.4 17.4 17.2 17.0 16.6 16.4 17.0 17.6 17.0 17.0 17.8 19.8 19.6 20.6
