A: 164 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3c-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 164 (gate 26, extra 138)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
|---|---|---|---|---|---|---|---|
| 100 | 24c509cb/dc2e1eaa | 3d2c63b8/3d2c63b8 | fd889dc5/fd889dc5 | 558/536 | 397/387 | 512x448/512x448 | MISMATCH |
| 150 | 4be23470/4be23470 | cfdb944a/cfdb944a | e2d6fd01/e2d6fd01 | 1301/1267 | 697/687 | 512x448/512x448 | OK |
| 200 | 4be23470/4be23470 | 5daf4114/5daf4114 | e2d6fd01/e2d6fd01 | 2151/2117 | 997/987 | 512x448/512x448 | OK |
| 250 | e16e8f9c/3e32ea91 | 2e68b226/2e68b226 | fd889dc5/fd889dc5 | 3910/3505 | 1292/1282 | 512x448/512x448 | MISMATCH |
| 300 | 7cbb25d6/fa560c26 | d87f8e0b/d87f8e0b | b5151360/b6fd683 | 10597/10353 | 1592/1582 | 512x448/512x448 | MISMATCH |
| 350 | 6fd20666/f0bc882f | 6b2ebe9d/6b2ebe9d | 633be867/11e95d4c | 16697/16453 | 1892/1882 | 512x448/512x448 | MISMATCH |
| 400 | bb493aec/46139150 | f9026b67/f9026b67 | 6eeff6ec/da0ea775 | 22797/22553 | 2192/2182 | 512x448/512x448 | MISMATCH |
| 450 | 7fe2b492/95a709ff | aab6bc39/aab6bc39 | 853334f1/7c643600 | 28897/28653 | 2492/2482 | 512x448/512x448 | MISMATCH |
| 500 | 8b16c59b/27b41cfe | 578f8943/578f8943 | 15364772/1688c1af | 34997/34753 | 2792/2782 | 512x448/512x448 | MISMATCH |
| 550 | c582aaf1/aa3de828 | a4cc50c4/a4cc50c4 | 47408c8c/628df46 | 41097/40853 | 3092/3082 | 512x448/512x448 | MISMATCH |
| 600 | 1d841896/260ae9b5 | 945595ba/945595ba | cf9de85b/df0931be | 47243/46997 | 3392/3382 | 512x448/512x448 | MISMATCH |
| 650 | 8848f810/1edf8e | c54f2e20/c54f2e20 | 74d8cd30/6a4f685c | 53395/53149 | 3692/3682 | 512x448/512x448 | MISMATCH |
| 700 | 7272b12f/5499341d | f2e2b396/f2e2b396 | d4cb6502/5bcb5b88 | 60126/59880 | 3992/3982 | 512x448/512x448 | MISMATCH |
| 750 | 5bb923f9/3bb0ab64 | 23dc4bfc/23dc4bfc | 428633f4/35856f69 | 66576/66330 | 4292/4282 | 512x448/512x448 | MISMATCH |
| 800 | 924ba3a0/a30aa9b8 | 4eade04d/4eade04d | 6342e79a/5c6c7679 | 73026/72780 | 4592/4582 | 512x448/512x448 | MISMATCH |
| 850 | 6537b35f/6b36296 | 60a25873/60a25873 | ed2b5f40/f9a53cbb | 79476/79230 | 4892/4882 | 512x448/512x448 | MISMATCH |
| 900 | 798abd42/38beb071 | 6f30bda9/6f30bda9 | c422e7ae/c5c4ff53 | 85926/85680 | 5192/5182 | 512x448/512x448 | MISMATCH |
| 950 | 1db177dc/1f163d6c | bf2f764f/bf2f764f | 9ccf1914/7a2b0fe3 | 92376/92130 | 5492/5482 | 512x448/512x448 | MISMATCH |
| 1000 | 681b39cb/f119b19b | cdbddb85/cdbddb85 | 44b6c382/546b7fb6 | 98826/98580 | 5792/5782 | 512x448/512x448 | MISMATCH |
| 1050 | f9bec018/d851cb00 | 7cb03b32/7cb03b32 | fbba7a1c/7b5a45de | 105276/105030 | 6092/6082 | 512x448/512x448 | MISMATCH |
| 1100 | 26754833/8a4aec38 | a83e7fc/a83e7fc | 3504a2fa/da57c29 | 111726/111480 | 6392/6382 | 512x448/512x448 | MISMATCH |
| 1150 | 18104073/75ecc7f | d9c7e836/d9c7e836 | 28a5c805/9b4bf018 | 118176/117930 | 6692/6682 | 512x448/512x448 | MISMATCH |
| 1200 | 916f43a5/698a3e4d | 679b9500/679b9500 | 33ac96e4/23e67543 | 124626/124380 | 6992/6982 | 512x448/512x448 | MISMATCH |
| 1250 | ccaffc52/61e66853 | 1ac556aa/1ac556aa | a403aca9/bb117eea | 131450/131204 | 7287/7277 | 512x448/512x448 | MISMATCH |
| 1300 | b5095131/f643c378 | a5d7124f/a5d7124f | c03595b9/8c71c5fc | 152899/152653 | 7572/7562 | 512x448/512x448 | MISMATCH |
| 1350 | d99c6f3f/81aa06e | 5615f249/5615f249 | 18c214eb/d470d07f | 182149/181903 | 7872/7862 | 512x448/512x448 | MISMATCH |
| 1400 | 8f813642/f333a718 | 2eebf53/2eebf53 | 5164d2e7/fbc0802e | 208836/208590 | 8172/8162 | 512x448/512x448 | MISMATCH (extra) |
| 1450 | 56c0e178/bda70191 | b61880fd/b61880fd | c58408ba/bf98763 | 219348/219102 | 8472/8462 | 512x448/512x448 | MISMATCH (extra) |
| 1500 | aec8cf0e/7daad08e | 24e70d87/24e70d87 | 678e396b/caccf972 | 225503/225257 | 8757/8747 | 512x448/512x448 | MISMATCH (extra) |
| 1550 | c593e517/1a686e8d | 70ae6430/70ae6430 | ab780869/ccc3b455 | 231953/231707 | 9057/9047 | 512x448/512x448 | MISMATCH (extra) |
| 1600 | a86ff4a5/cf97d0b1 | 7f3cc966/7f3cc966 | 2337404b/42f355b6 | 238403/238157 | 9357/9347 | 512x448/512x448 | MISMATCH (extra) |
| 1650 | e01b93ce/846f694a | d0b0f2e4/d0b0f2e4 | aa6b3510/e8d954b4 | 244853/244607 | 9657/9647 | 512x448/512x448 | MISMATCH (extra) |
| 1700 | 87d4127f/dc025fd | df3f581a/df3f581a | a4534bcc/bc9420a9 | 251303/251057 | 9957/9947 | 512x448/512x448 | MISMATCH (extra) |
| 1750 | b8c4c09a/c6491533 | efbe5f68/efbe5f68 | 2e65143d/e0c0bdf1 | 257753/257507 | 10257/10247 | 512x448/512x448 | MISMATCH (extra) |
| 1800 | 475d1ce5/c6df66cb | 1a8ff3b9/1a8ff3b9 | 27e3b1cd/15edbdd7 | 264203/263957 | 10557/10547 | 512x448/512x448 | MISMATCH (extra) |
| 1850 | aefaa21/71833b1e | 6c041d37/6c041d37 | c678345b/af97d9a9 | 270653/270407 | 10857/10847 | 512x448/512x448 | MISMATCH (extra) |
| 1900 | 382f1ab3/b9ecfe6a | 7a92826d/7a92826d | 143eaf8d/7efa9a69 | 277296/277050 | 11152/11142 | 512x448/512x448 | MISMATCH (extra) |
| 1950 | c548e24b/c3c142f8 | 8b1189bb/8b1189bb | f59988e9/188c8823 | 284446/284200 | 11452/11442 | 512x448/512x448 | MISMATCH (extra) |
| 2000 | f791f164/8a30cdbe | 999feef1/999feef1 | 874a0af9/9f31d66b | 291596/291350 | 11752/11742 | 512x448/512x448 | MISMATCH (extra) |
| 2050 | ea07ed7d/280c22ff | 6621fe06/6621fe06 | 8be97018/7544c503 | 298746/298500 | 12052/12042 | 512x448/512x448 | MISMATCH (extra) |
| 2100 | 9142b29d/b68cab13 | 12facb10/12facb10 | 55a7d522/56b0b0b1 | 305896/305650 | 12352/12342 | 512x448/512x448 | MISMATCH (extra) |
| 2150 | 4b7a5e86/9da6606 | c4af1be2/c4af1be2 | caf0d5b7/259fa1d8 | 313046/312800 | 12652/12642 | 512x448/512x448 | MISMATCH (extra) |
| 2200 | 7019b248/c0d95ed5 | 337da86c/337da86c | 609ac2ea/de5aa435 | 320196/319950 | 12952/12942 | 512x448/512x448 | MISMATCH (extra) |
| 2250 | 9c061427/b5c42846 | e81cdaee/e81cdaee | 7e3d0d6a/10e99535 | 327346/327100 | 13252/13242 | 512x448/512x448 | MISMATCH (extra) |
| 2300 | f40ace9d/2d5f3ac3 | 94f5a7f8/94f5a7f8 | 1b2731a8/18f62c4 | 334496/334250 | 13552/13542 | 512x448/512x448 | MISMATCH (extra) |
| 2350 | 5d26296d/13cbe2f4 | 62ed27e5/62ed27e5 | a2e26624/3c5ee587 | 341646/341400 | 13852/13842 | 512x448/512x448 | MISMATCH (extra) |
| 2400 | fb8c73e6/5c513ef7 | f0c0d4af/f0c0d4af | e8941572/35bff7f0 | 348852/348606 | 14152/14142 | 512x448/512x448 | MISMATCH (extra) |
| 2450 | bcfe73f/2ef6dea6 | 80852391/80852391 | 3ce86e2d/f324bdbb | 356102/355856 | 14452/14442 | 512x448/512x448 | MISMATCH (extra) |
| 2500 | b77f6e85/de5ec35f | e58d05b/e58d05b | 956e127a/408a01b3 | 363352/363106 | 14752/14742 | 512x448/512x448 | MISMATCH (extra) |
| 2550 | 6ae22178/265fe7b4 | df12416d/df12416d | 136c5674/cb0ebb63 | 370602/370356 | 15052/15042 | 512x448/512x448 | MISMATCH (extra) |
| 2600 | a7ada301/2c7fd5fb | 89291d52/89291d52 | da5c2d5d/7bf9b576 | 377852/377606 | 15352/15342 | 512x448/512x448 | MISMATCH (extra) |
| 2650 | 30c92c76/ae88b067 | 9e087728/9e087728 | beab446b/ccb504cf | 385102/384856 | 15652/15642 | 512x448/512x448 | MISMATCH (extra) |
