A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 164 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3c-1.log)
matched ticks: 122 (gate 26, extra 96)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
|---|---|---|---|---|---|---|---|
| 100 | 3949391b/24c509cb | 3d2c63b8/3d2c63b8 | fd889dc5/fd889dc5 | 547/558 | 392/397 | 512x448/512x448 | MISMATCH |
| 150 | 2ebbd68f/4be23470 | cfdb944a/cfdb944a | 23dabe7c/e2d6fd01 | 1284/1301 | 692/697 | 512x448/512x448 | MISMATCH |
| 200 | 2ebbd68f/4be23470 | 5daf4114/5daf4114 | 23dabe7c/e2d6fd01 | 2134/2151 | 992/997 | 512x448/512x448 | MISMATCH |
| 250 | 1b376ee1/e16e8f9c | 2e68b226/2e68b226 | fd889dc5/fd889dc5 | 3514/3910 | 1287/1292 | 512x448/512x448 | MISMATCH |
| 300 | e3d89538/7cbb25d6 | d87f8e0b/d87f8e0b | de9eef2c/b5151360 | 10475/10597 | 1587/1592 | 512x448/512x448 | MISMATCH |
| 350 | 1b4e76e8/6fd20666 | 6b2ebe9d/6b2ebe9d | 1a3e002b/633be867 | 16575/16697 | 1887/1892 | 512x448/512x448 | MISMATCH |
| 400 | 16c7245f/bb493aec | f9026b67/f9026b67 | 9665c306/6eeff6ec | 22675/22797 | 2187/2192 | 512x448/512x448 | MISMATCH |
| 450 | a02266d1/7fe2b492 | aab6bc39/aab6bc39 | b67a893f/853334f1 | 28775/28897 | 2487/2492 | 512x448/512x448 | MISMATCH |
| 500 | d881c4e9/8b16c59b | 578f8943/578f8943 | f7d0f59f/15364772 | 34875/34997 | 2787/2792 | 512x448/512x448 | MISMATCH |
| 550 | 47219e37/c582aaf1 | a4cc50c4/a4cc50c4 | fd53a593/47408c8c | 40975/41097 | 3087/3092 | 512x448/512x448 | MISMATCH |
| 600 | 420fe543/1d841896 | 945595ba/945595ba | a6c2e872/cf9de85b | 47120/47243 | 3387/3392 | 512x448/512x448 | MISMATCH |
| 650 | 81699264/8848f810 | c54f2e20/c54f2e20 | 69536bd0/74d8cd30 | 53272/53395 | 3687/3692 | 512x448/512x448 | MISMATCH |
| 700 | 2c5496fd/7272b12f | f2e2b396/f2e2b396 | f4aa138c/d4cb6502 | 60003/60126 | 3987/3992 | 512x448/512x448 | MISMATCH |
| 750 | ad27c72a/5bb923f9 | 23dc4bfc/23dc4bfc | 8b65404c/428633f4 | 66453/66576 | 4287/4292 | 512x448/512x448 | MISMATCH |
| 800 | 8e83e824/924ba3a0 | 4eade04d/4eade04d | 9e5b3322/6342e79a | 72903/73026 | 4587/4592 | 512x448/512x448 | MISMATCH |
| 850 | d511caea/6537b35f | 60a25873/60a25873 | a9a3e11a/ed2b5f40 | 79353/79476 | 4887/4892 | 512x448/512x448 | MISMATCH |
| 900 | f8aabf8c/798abd42 | 6f30bda9/6f30bda9 | b99c9767/c422e7ae | 85803/85926 | 5187/5192 | 512x448/512x448 | MISMATCH |
| 950 | 138a6c6e/1db177dc | bf2f764f/bf2f764f | 6681d3db/9ccf1914 | 92253/92376 | 5487/5492 | 512x448/512x448 | MISMATCH |
| 1000 | 638c713f/681b39cb | cdbddb85/cdbddb85 | bbf91f4b/44b6c382 | 98703/98826 | 5787/5792 | 512x448/512x448 | MISMATCH |
| 1050 | 76ce209a/f9bec018 | 7cb03b32/7cb03b32 | bfc1865b/fbba7a1c | 105153/105276 | 6087/6092 | 512x448/512x448 | MISMATCH |
| 1100 | 14657f20/26754833 | a83e7fc/a83e7fc | f224ee36/3504a2fa | 111603/111726 | 6387/6392 | 512x448/512x448 | MISMATCH |
| 1150 | dd2df8df/18104073 | d9c7e836/d9c7e836 | 344edc34/28a5c805 | 118053/118176 | 6687/6692 | 512x448/512x448 | MISMATCH |
| 1200 | 3c30f6a8/916f43a5 | 679b9500/679b9500 | 7a0d8dd/33ac96e4 | 124503/124626 | 6987/6992 | 512x448/512x448 | MISMATCH |
| 1250 | 7906d62d/ccaffc52 | 1ac556aa/1ac556aa | f92b80ec/a403aca9 | 131327/131450 | 7282/7287 | 512x448/512x448 | MISMATCH |
| 1300 | ac2609c6/b5095131 | a5d7124f/a5d7124f | d29d5b0b/c03595b9 | 152776/152899 | 7567/7572 | 512x448/512x448 | MISMATCH |
| 1350 | 1bdab019/d99c6f3f | 5615f249/5615f249 | 3d4f3af2/18c214eb | 182026/182149 | 7867/7872 | 512x448/512x448 | MISMATCH |
| 1400 | a87c7ad2/8f813642 | 2eebf53/2eebf53 | 819f2270/5164d2e7 | 208713/208836 | 8167/8172 | 512x448/512x448 | MISMATCH (extra) |
| 1450 | 18be276f/56c0e178 | b61880fd/b61880fd | 38b07365/c58408ba | 219225/219348 | 8467/8472 | 512x448/512x448 | MISMATCH (extra) |
| 1500 | 82a72981/aec8cf0e | 24e70d87/24e70d87 | b70880b/678e396b | 225380/225503 | 8752/8757 | 512x448/512x448 | MISMATCH (extra) |
| 1550 | 9ccff54c/c593e517 | 70ae6430/70ae6430 | 525c84f8/ab780869 | 231830/231953 | 9052/9057 | 512x448/512x448 | MISMATCH (extra) |
| 1600 | a9712d41/a86ff4a5 | 7f3cc966/7f3cc966 | d76fa6c4/2337404b | 238280/238403 | 9352/9357 | 512x448/512x448 | MISMATCH (extra) |
| 1650 | 3e7871cb/e01b93ce | d0b0f2e4/d0b0f2e4 | 3cfbff85/aa6b3510 | 244730/244853 | 9652/9657 | 512x448/512x448 | MISMATCH (extra) |
| 1700 | 503a03c9/87d4127f | df3f581a/df3f581a | 2110cc0c/a4534bcc | 251180/251303 | 9952/9957 | 512x448/512x448 | MISMATCH (extra) |
| 1750 | f1611d65/b8c4c09a | efbe5f68/efbe5f68 | 1c5220b3/2e65143d | 257630/257753 | 10252/10257 | 512x448/512x448 | MISMATCH (extra) |
| 1800 | 283cfb85/475d1ce5 | 1a8ff3b9/1a8ff3b9 | 48c1594f/27e3b1cd | 264080/264203 | 10552/10557 | 512x448/512x448 | MISMATCH (extra) |
| 1850 | c7e2c275/aefaa21 | 6c041d37/6c041d37 | ae5933c5/c678345b | 270530/270653 | 10852/10857 | 512x448/512x448 | MISMATCH (extra) |
