A: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
B: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3d-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 1900 | a1b01a70/b9ecfe6a | 7a92826d/7a92826d | 708b03cd/7efa9a69 | 277173/277050 | 11147/11142 | 512x448/512x448 | MISMATCH (extra) |
| 1950 | 7c62cf4c/c3c142f8 | 8b1189bb/8b1189bb | d3d5e5d3/188c8823 | 284323/284200 | 11447/11442 | 512x448/512x448 | MISMATCH (extra) |
| 2000 | b4047b5e/8a30cdbe | 999feef1/999feef1 | 18ff565/9f31d66b | 291473/291350 | 11747/11742 | 512x448/512x448 | MISMATCH (extra) |
| 2050 | dfc259e0/280c22ff | 6621fe06/6621fe06 | 33c478a5/7544c503 | 298623/298500 | 12047/12042 | 512x448/512x448 | MISMATCH (extra) |
| 2100 | 6320b98f/b68cab13 | 12facb10/12facb10 | 3db43ae5/56b0b0b1 | 305773/305650 | 12347/12342 | 512x448/512x448 | MISMATCH (extra) |
| 2150 | 6c6c6f24/9da6606 | c4af1be2/c4af1be2 | ce08eef2/259fa1d8 | 312923/312800 | 12647/12642 | 512x448/512x448 | MISMATCH (extra) |
| 2200 | 420e5bb8/c0d95ed5 | 337da86c/337da86c | 48aba888/de5aa435 | 320073/319950 | 12947/12942 | 512x448/512x448 | MISMATCH (extra) |
| 2250 | e5b789a4/b5c42846 | e81cdaee/e81cdaee | 5e40bb91/10e99535 | 327223/327100 | 13247/13242 | 512x448/512x448 | MISMATCH (extra) |
| 2300 | 74a733b5/2d5f3ac3 | 94f5a7f8/94f5a7f8 | 5218e9b4/18f62c4 | 334373/334250 | 13547/13542 | 512x448/512x448 | MISMATCH (extra) |
| 2350 | f6e4802c/13cbe2f4 | 62ed27e5/62ed27e5 | 18d8d896/3c5ee587 | 341523/341400 | 13847/13842 | 512x448/512x448 | MISMATCH (extra) |
| 2400 | 34b4414c/5c513ef7 | f0c0d4af/f0c0d4af | 4aa2b08d/35bff7f0 | 348729/348606 | 14147/14142 | 512x448/512x448 | MISMATCH (extra) |
| 2450 | dddafa3f/2ef6dea6 | 80852391/80852391 | 5ced129a/f324bdbb | 355979/355856 | 14447/14442 | 512x448/512x448 | MISMATCH (extra) |
| 2500 | 469bae4/de5ec35f | e58d05b/e58d05b | 6a1c052a/408a01b3 | 363229/363106 | 14747/14742 | 512x448/512x448 | MISMATCH (extra) |
| 2550 | 2455a17e/265fe7b4 | df12416d/df12416d | b1727e3d/cb0ebb63 | 370479/370356 | 15047/15042 | 512x448/512x448 | MISMATCH (extra) |
| 2600 | 30b45695/2c7fd5fb | 89291d52/89291d52 | b4c84210/7bf9b576 | 377729/377606 | 15347/15342 | 512x448/512x448 | MISMATCH (extra) |
