A: 165 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3a-1.log)
B: 123 vq samples armed=True  (/Users/brad/dev/ssx3-work/GB3-run/boot-gb3b-1.log)
matched ticks: 123 (gate 26, extra 97)

| tick | vram A/B | regs A/B | pres A/B | sub A/B | priv A/B | pw×ph A/B | verdict |
| 4650 | 244de706/56dd2f92 | 4495b4a5/a83ff738 | 2f0ea88d/fe5631fb | 620881/1074516 | 27056/28911 | 512x448/512x448 | MISMATCH (extra) |
| 4700 | 8dbb0375/dbbf0cc2 | 70b3c943/f4d89cee | 98c66d42/6f7771fc | 624073/1116336 | 27316/29330 | 512x448/512x448 | MISMATCH (extra) |
| 4750 | ce275e86/18ab083b | e12d1301/69b23934 | 42a308a7/227cb25f | 627265/1157136 | 27576/29740 | 512x448/512x448 | MISMATCH (extra) |
| 4800 | e20b7f67/f273f633 | e48effcf/68b3d37a | 5b94622f/93879ae2 | 630382/1198956 | 27836/30159 | 512x448/512x448 | MISMATCH (extra) |
| 4850 | 41bf2df9/2a21cdbd | 3603294d/99ad6be0 | 3a21cb97/74ad2513 | 633573/1239756 | 28091/30569 | 512x448/512x448 | MISMATCH (extra) |
| 4900 | c2e787d2/4d1b44f6 | 64e32f10/a603eb1 | a1fd773/2fe62bd1 | 636765/1281576 | 28351/30988 | 512x448/512x448 | MISMATCH (extra) |
| 4950 | c213c7f3/28b57afc | b081952e/7f39daf7 | 8d817199/c365cd05 | 639957/1323396 | 28611/31407 | 512x448/512x448 | MISMATCH (extra) |
| 5000 | a734bd1e/46febae1 | 493bd57c/dbe055d | 89f2ae4/d5d2ebf9 | 643149/1364196 | 28871/31817 | 512x448/512x448 | MISMATCH (extra) |
| 5050 | b153cbc4/72af953f | 94da3b9a/448d6123 | 625e30b4/51a570fa | 646266/1406016 | 29131/32236 | 512x448/512x448 | MISMATCH (extra) |
| 5100 | 7dc6f3/e7e30e5 | dffd7078/2f857579 | b86b1175/2d750a48 | 649457/1446817 | 29386/32651 | 512x448/512x448 | MISMATCH (extra) |
| 5150 | 26ea22af/e0863e77 | 95e92347/9db3910e | 463b7cb4/7c831ba0 | 652649/1488636 | 29646/33065 | 512x448/512x448 | MISMATCH (extra) |
| 5200 | 5182ac2e/e9df6d30 | 189057a9/2314c908 | d50a6c9c/a15fd681 | 655841/1529437 | 29906/33480 | 512x448/512x448 | MISMATCH (extra) |
| 5250 | 3e6bcf03/f03c8ff6 | 84ee8fb/18d9fbd2 | ace2c36f/3b6b7efd | 658958/1571256 | 30166/33894 | 512x448/512x448 | MISMATCH (extra) |
| 5300 | f7a5a077/9c8e54c3 | b69d26dd/a6ada89c | a1a50578/f56b6ac9 | 662149/1613076 | 30421/34313 | 512x448/512x448 | MISMATCH (extra) |
| 5350 | dc53328a/f14a37cf | ac317b8f/8f2105b6 | be4e7036/d5f6f573 | 665341/1653876 | 30681/34723 | 512x448/512x448 | MISMATCH (extra) |
| 5400 | 3a582ed4/d1073dde | 7d3d2d56/ccb02b8b | 547eca3d/abbd7856 | 668533/1695696 | 30941/35142 | 512x448/512x448 | MISMATCH (extra) |
| 5450 | 35b991e7/6bc0cdb2 | 72d18208/b37d39b5 | 73077883/7430b197 | 671725/1736497 | 31201/35557 | 512x448/512x448 | MISMATCH (extra) |
| 5500 | 74d12b38/bf31f701 | 211fbfea/45e2171f | 90725fe4/d5905705 | 674842/1778316 | 31461/35971 | 512x448/512x448 | MISMATCH (extra) |
| 5550 | 4b0f236e/a3c6fb64 | 10de513c/3a00faf9 | 3491ddc7/5d5741eb | 678033/1820136 | 31716/36390 | 512x448/512x448 | MISMATCH (extra) |
| 5600 | 54ec03b0/3237009c | 9385859e/b847dcd3 | faa26477/af79adfc | 681225/1860936 | 31976/36800 | 512x448/512x448 | MISMATCH (extra) |
| 5650 | 82cb9578/a026321 | c8b68001/4cdb53ac | 7b9a909f/fe67da91 | 684417/1902756 | 32236/37219 | 512x448/512x448 | MISMATCH (extra) |
| 5700 | a9d8eee0/43f8cb93 | 154f25b7/9973f962 | 2c13d8d8/1f8a1fe | 687534/1943556 | 32496/37629 | 512x448/512x448 | MISMATCH (extra) |
| 5750 | 13b418a3/9b668c1a | 60ed8bd5/cecde450 | c06550d5/7f6bca5b | 690725/1985376 | 32751/38048 | 512x448/512x448 | MISMATCH (extra) |
| 5800 | bd684ac6/98703dca | f8325b4b/5d520eb6 | 4c2aff7/30fd9900 | 693917/2027196 | 33011/38467 | 512x448/512x448 | MISMATCH (extra) |
