tick	packet	path	batch	cand	kind	dst_xy	dst_addr	old	new	src_uv	taps	tap_state	blend	state	test	classification
600	47176	2	12	-	batch-c1	-	-	-	-	-	-	-	-	rect=(184,381)-(187,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	13	-	batch-c1	-	-	-	-	-	-	-	-	rect=(189,381)-(196,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	14	-	batch-c1	-	-	-	-	-	-	-	-	rect=(198,381)-(204,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	15	-	batch-c1	-	-	-	-	-	-	-	-	rect=(206,378)-(207,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	16	-	batch-c1	-	-	-	-	-	-	-	-	rect=(210,381)-(215,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	17	-	batch-c1	-	-	-	-	-	-	-	-	rect=(217,377)-(217,377) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	18	-	batch-c1	-	-	-	-	-	-	-	-	rect=(220,378)-(229,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	19	-	batch-c1	-	-	-	-	-	-	-	-	rect=(231,381)-(233,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	20	-	batch-c1	-	-	-	-	-	-	-	-	rect=(235,378)-(239,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
600	47176	2	21	-	batch-c1	-	-	-	-	-	-	-	-	rect=(240,381)-(246,387) fst=0 tme=1 abe=1 frame=fbp0,fbw8,psm0,fbmsk=0x00000000 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0,cld1 clamp=0x5 xyoff=(28672,29184) tex1=0x61 texa=(ta0=128,aem=0,ta1=128) test=0x31143 alpha=0x44 pabe=0 vrt=(29,5,4,128)	-	batch-c1
