block	distinct	logline	w29	w31	s29	s31	dormant
0	887	5366	533	533	533	533	1046
1	603	34265	301	301	301	301	626
2	222	50664	302	302	302	302	631
3	222	65254	299	299	299	299	629
4	222	75523	303	303	303	303	637
5	222	85961	302	302	302	302	632
6	222	96326	300	300	300	300	633
7	222	106629	303	303	303	303	630
8	222	117023	301	302	302	302	638
9	222	127346	302	302	302	302	630
10	222	137708	299	298	298	298	621
11	222	147983	300	301	301	301	639
12	222	158315	302	301	301	301	631
13	222	168655	303	304	304	304	635
14	222	179026	297	296	296	296	607
15	222	189234	303	304	304	304	637
16	222	199608	299	299	299	299	630
17	222	209886	298	298	298	298	629
18	222	220125	300	300	300	300	622
19	222	230401	302	302	302	302	630
20	222	240762	301	300	300	300	624
21	222	251117	300	300	300	300	623
22	222	261412	302	303	303	303	622
23	222	271738	300	299	299	299	603
24	222	282039	301	301	301	301	632
25	222	292372	302	302	302	302	647
26	222	302752	302	302	302	302	638
27	222	313126	299	299	299	299	627
28	222	323390	300	301	301	301	634
29	222	333714	302	301	301	301	636
30	222	344064	302	302	302	302	636
31	222	354436	300	300	300	300	632
32	222	364737	301	302	302	302	643
33	222	375095	299	298	298	298	633
34	222	385345	301	302	302	302	636
35	222	395689	299	299	299	299	624
36	222	405962	302	302	302	302	638
37	222	416321	300	299	299	299	628
38	222	426617	301	301	301	301	641
39	222	436959	302	302	302	302	638
40	222	447333	301	301	301	301	633
41	222	457667	301	301	301	301	636
42	222	468005	300	300	300	300	626
43	222	478300	301	301	301	301	628
44	222	488630	300	300	300	300	627
45	222	498926	303	303	303	303	641
46	222	509332	303	303	303	303	638
47	222	519736	303	303	303	303	639
48	222	530140	301	302	302	302	638
49	222	540505	302	301	301	301	639
50	222	550852	302	302	302	302	641
51	222	561229	299	300	300	300	632
52	222	571511	300	299	299	299	637
53	222	581805	302	303	303	303	644
54	222	592203	297	297	297	297	635
55	222	602415	302	302	302	302	642
56	222	612779	300	299	299	299	632
57	222	623068	300	300	300	300	627
58	222	633365	303	303	303	303	644
59	222	643776	302	302	302	302	649
60	222	654159	300	300	300	300	635
61	222	664463	301	301	301	301	643
62	222	674809	300	300	300	300	630
63	222	685109	301	302	302	302	637
64	222	695418	301	300	300	300	635
65	222	705785	303	304	304	304	645
66	222	716196	300	300	300	300	641
67	222	726518	301	300	300	300	639
68	222	736837	303	303	303	303	645
69	222	747248	303	303	303	303	640
70	222	757652	299	300	300	300	632
71	222	767944	302	302	302	302	637
72	222	778318	299	298	298	298	630
73	222	788561	303	303	303	303	636
