tick	logline	pc	dma	gif	d_dma	d_gif	ratio
120	41194	0x3a0714	23858	687	NA	NA	NA
240	73182	0x3172e0	50013	1394	26155	707	0.02703
360	97484	0x0	76171	2100	26158	706	0.02699
480	121283	0x317244	101849	2794	25678	694	0.02703
600	144329	0x317244	126713	3466	24864	672	0.02703
720	168411	0x317244	152687	4168	25974	702	0.02703
840	191547	0x3827e0	177584	4841	24897	673	0.02703
960	213924	0x317244	201712	5493	24128	652	0.02702
1080	235871	0x317244	225392	6133	23680	640	0.02703
1200	259728	0x3827e0	251140	6829	25748	696	0.02703
1320	281002	0x36356c	274114	7450	22974	621	0.02703
1440	304354	0x317244	299207	8128	25093	678	0.02702
1560	327561	0x1d8efc	324220	8805	25013	677	0.02707
1680	350355	0x1d8efc	348788	9469	24568	664	0.02703
1800	373711	0x317244	373984	10149	25196	680	0.02699
1920	397661	0x3825c0	399736	10845	25752	696	0.02703
2040	419713	0x36356c	423520	11488	23784	643	0.02703
2160	442683	0x3827e0	448274	12157	24754	669	0.02703
2280	464838	0x1d8efc	472146	12803	23872	646	0.02706
2400	488455	0x3825c0	497638	13491	25492	688	0.02699
2520	511867	0x1d8efc	522799	14172	25161	681	0.02707
2640	535911	0x31ac30	548736	14873	25937	701	0.02703
2760	559789	0x317244	574487	15568	25751	695	0.02699
2880	583646	0x317244	600128	16261	25641	693	0.02703
3000	606856	0x317244	625140	16937	25012	676	0.02703
3120	629627	0x1d8efc	649672	17601	24532	664	0.02707
3240	653403	0x317244	675312	18293	25640	692	0.02699
3360	677125	0x317244	700805	18982	25493	689	0.02703
3480	699945	0x3c1980	725410	19647	24605	665	0.02703
3600	722975	0x3a0714	750209	20318	24799	671	0.02706
3720	746600	0x317244	775693	21006	25484	688	0.02700
3840	769414	0x377ae8	800208	21669	24515	663	0.02704
3960	792547	0x39ee8c	825126	22343	24918	674	0.02705
4080	814743	0x317244	849101	22990	23975	647	0.02699
4200	837630	0x3a0714	873793	23658	24692	668	0.02705
4320	860248	0x377b1c	898194	24317	24401	659	0.02701
4440	884133	0x317244	923878	25011	25684	694	0.02702
4560	908132	0x3825c0	949741	25710	25863	699	0.02703
4680	931779	0x317244	975234	26399	25493	689	0.02703
4800	956256	0x3827e0	1001574	27111	26340	712	0.02703
4920	979068	0x3827e0	1026179	27776	24605	665	0.02703
5040	1001836	0x31a490	1050715	28440	24536	664	0.02706
5160	1026111	0x382ae8	1076832	29145	26117	705	0.02699
5280	1048092	0x317244	1100516	29785	23684	640	0.02702
5400	1071184	0x3827e0	1125413	30458	24897	673	0.02703
5520	1093713	0x317244	1149689	31114	24276	656	0.02702
5640	1116406	0x0	1174146	31775	24457	661	0.02703
5760	1139695	0x317244	1199269	32454	25123	679	0.02703
5880	1162819	0x3171bc	1224097	33126	24828	672	0.02707
6000	1186118	0x3988dc	1249238	33805	25141	679	0.02701
6120	1209435	0x0	1274379	34484	25141	679	0.02701
6240	1232909	0x317244	1299613	35166	25234	682	0.02703
6360	1256421	0x317244	1324958	35851	25345	685	0.02703
6480	1280077	0x317244	1350451	36540	25493	689	0.02703
6600	1303418	0x317244	1375611	37220	25160	680	0.02703
6720	1326250	0x3825c0	1400142	37883	24531	663	0.02703
6840	1349329	0x3172e0	1425007	38556	24865	673	0.02707
6960	1373644	0x3825c0	1451239	39264	26232	708	0.02699
7080	1397018	0x317244	1476436	39945	25197	681	0.02703
7200	1420735	0x3825c0	1501929	40634	25493	689	0.02703
7320	1444451	0x3825c0	1527496	41325	25567	691	0.02703
7440	1467789	0x317244	1552656	42005	25160	680	0.02703
7560	1491673	0x317244	1578334	42699	25678	694	0.02703
7680	1515732	0x377ae8	1604292	43401	25958	702	0.02704
7800	1539933	0x3827e0	1630393	44106	26101	705	0.02701
7920	1563608	0x317244	1655886	44795	25493	689	0.02703
8040	1585996	0x3827e0	1680048	45449	24162	654	0.02707
8160	1609225	0x317244	1705133	46126	25085	677	0.02699
8280	1631564	0x3827e0	1729253	46778	24120	652	0.02703
8400	1654037	0x317244	1753529	47434	24276	656	0.02702
8520	1676732	0x3825c0	1778023	48096	24494	662	0.02703
8640	1699148	0x317244	1802147	48748	24124	652	0.02703
8760	1721284	0x317244	1826049	49394	23902	646	0.02703
8880	1744033	0x1d8efc	1850618	50059	24569	665	0.02707
9000	1767930	0x3825c0	1876406	50755	25788	696	0.02699
9120	1791578	0x317244	1901825	51442	25419	687	0.02703
9240	1814710	0x317244	1926763	52116	24938	674	0.02703
9360	1837510	0x317244	1951331	52780	24568	664	0.02703
9480	1860473	0x377ae8	1976068	53449	24737	669	0.02704
9600	1884169	0x317244	2001540	54137	25472	688	0.02701
9720	1907987	0x3827e0	2027214	54831	25674	694	0.02703
9840	1930919	0x3e4db8	2051934	55499	24720	668	0.02702
9960	1953713	0x317244	2076502	56163	24568	664	0.02703
10080	1977564	0x317244	2102143	56856	25641	693	0.02703
10200	2000930	0x317244	2127340	57537	25197	681	0.02703
10320	2024285	0x1d8efc	2152501	58218	25161	681	0.02707
10440	2047951	0x3825c0	2178030	58907	25529	689	0.02699
10560	2071129	0x3825c0	2202931	59580	24901	673	0.02703
10680	2095158	0x317244	2228831	60280	25900	700	0.02703
10800	2117805	0x317244	2253251	60940	24420	660	0.02703
10920	2141201	0x3988dc	2278468	61622	25217	682	0.02705
11040	2163495	0x317244	2302461	62270	23993	648	0.02701
11160	2186196	0x317244	2326955	62932	24494	662	0.02703
11280	2209333	0x317244	2351893	63606	24938	674	0.02703
11400	2232807	0x317244	2377201	64290	25308	684	0.02703
11520	2256422	0x317244	2402583	64976	25382	686	0.02703
11640	2279047	0x317244	2426966	65635	24383	659	0.02703
11760	2302978	0x3172e0	2452756	66333	25790	698	0.02706
11880	2326616	0x317244	2478248	67021	25492	688	0.02699
12000	2350190	0x377ae8	2503577	67706	25329	685	0.02704
12120	2373919	0x317244	2529160	68397	25583	691	0.02701
12240	2397424	0x3827e0	2554501	69082	25341	685	0.02703
12360	2420980	0x317244	2579850	69767	25349	685	0.02702
12480	2444518	0x3988dc	2605214	70453	25364	686	0.02705
12600	2466575	0x2c6074	2630097	71126	24883	673	0.02705
