tick,record,offset,info
917,priv,139084849,off=0000_value=000000000000ff21
917,priv,139084874,off=0020_value=0000000000000001
917,priv,139084899,off=0070_value=0000000000009070
917,priv,139084924,off=0080_value=001bfa0002032281
917,priv,139084949,off=00e0_value=0000000000000000
918,marker,139442701,
918,priv,139442714,off=1000_value=0000000000004008
918,priv,139442739,off=0000_value=000000000000ff21
918,priv,139442764,off=0020_value=0000000000000001
918,priv,139442789,off=0070_value=0000000000009070
918,priv,139442814,off=0080_value=001bfa0002032281
918,priv,139442839,off=00e0_value=0000000000000000
919,marker,139800591,
919,priv,139800604,off=1000_value=0000000000006008
919,priv,139800629,off=0000_value=000000000000ff21
919,priv,139800654,off=0020_value=0000000000000001
919,priv,139800679,off=0070_value=0000000000009070
919,priv,139800704,off=0080_value=001bfa0002032281
919,priv,139800729,off=00e0_value=0000000000000000
920,marker,140158481,
920,priv,140158494,off=1000_value=0000000000004008
920,priv,140158519,off=0000_value=000000000000ff21
920,priv,140158544,off=0020_value=0000000000000001
920,priv,140158569,off=0070_value=0000000000009070
920,priv,140158594,off=0080_value=001bfa0002032281
920,priv,140158619,off=00e0_value=0000000000000000
921,marker,140516371,
921,priv,140516384,off=1000_value=0000000000006008
921,priv,140516409,off=0000_value=000000000000ff21
921,priv,140516434,off=0020_value=0000000000000001
921,priv,140516459,off=0070_value=0000000000009070
921,priv,140516484,off=0080_value=001bfa0002032281
921,priv,140516509,off=00e0_value=0000000000000000
922,marker,141150429,
922,priv,141150442,off=1000_value=0000000000004008
922,priv,141150467,off=0000_value=000000000000ff21
922,priv,141150492,off=0020_value=0000000000000001
922,priv,141150517,off=0070_value=0000000000009070
922,priv,141150542,off=0080_value=001bfa0002032281
922,priv,141150567,off=00e0_value=0000000000000000
923,marker,141785031,
923,priv,141785044,off=1000_value=0000000000006008
923,priv,141785069,off=0000_value=000000000000ff21
923,priv,141785094,off=0020_value=0000000000000001
923,priv,141785119,off=0070_value=0000000000009070
923,priv,141785144,off=0080_value=001bfa0002032281
923,priv,141785169,off=00e0_value=0000000000000000
924,marker,142419633,
924,priv,142419646,off=1000_value=0000000000004008
924,priv,142419671,off=0000_value=000000000000ff21
924,priv,142419696,off=0020_value=0000000000000001
924,priv,142419721,off=0070_value=0000000000009070
924,priv,142419746,off=0080_value=001bfa0002032281
924,priv,142419771,off=00e0_value=0000000000000000
925,marker,143054235,
925,priv,143054248,off=1000_value=0000000000006008
925,priv,143054273,off=0000_value=000000000000ff21
925,priv,143054298,off=0020_value=0000000000000001
925,priv,143054323,off=0070_value=0000000000009070
925,priv,143054348,off=0080_value=001bfa0002032281
925,priv,143054373,off=00e0_value=0000000000000000
926,marker,143688837,
926,priv,143688850,off=1000_value=0000000000004008
926,priv,143688875,off=0000_value=000000000000ff21
926,priv,143688900,off=0020_value=0000000000000001
926,priv,143688925,off=0070_value=0000000000009070
926,priv,143688950,off=0080_value=001bfa0002032281
926,priv,143688975,off=00e0_value=0000000000000000
927,marker,144323439,
927,priv,144323452,off=1000_value=0000000000006008
927,priv,144323477,off=0000_value=000000000000ff21
927,priv,144323502,off=0020_value=0000000000000001
927,priv,144323527,off=0070_value=0000000000009070
927,priv,144323552,off=0080_value=001bfa0002032281
927,priv,144323577,off=00e0_value=0000000000000000
928,marker,144958041,
928,priv,144958054,off=1000_value=0000000000004008
928,priv,144958079,off=0000_value=000000000000ff21
928,priv,144958104,off=0020_value=0000000000000001
928,priv,144958129,off=0070_value=0000000000009070
928,priv,144958154,off=0080_value=001bfa0002032281
928,priv,144958179,off=00e0_value=0000000000000000
929,marker,145592643,
929,priv,145592656,off=1000_value=0000000000006008
929,priv,145592681,off=0000_value=000000000000ff21
929,priv,145592706,off=0020_value=0000000000000001
929,priv,145592731,off=0070_value=0000000000009070
929,priv,145592756,off=0080_value=001bfa0002032281
929,priv,145592781,off=00e0_value=0000000000000000
930,marker,146227245,
930,priv,146227258,off=1000_value=0000000000004008
930,priv,146227283,off=0000_value=000000000000ff21
930,priv,146227308,off=0020_value=0000000000000001
930,priv,146227333,off=0070_value=0000000000009070
930,priv,146227358,off=0080_value=001bfa0002032281
930,priv,146227383,off=00e0_value=0000000000000000
931,marker,146861847,
931,priv,146861860,off=1000_value=0000000000006008
931,priv,146861885,off=0000_value=000000000000ff21
931,priv,146861910,off=0020_value=0000000000000001
931,priv,146861935,off=0070_value=0000000000009070
931,priv,146861960,off=0080_value=001bfa0002032281
931,priv,146861985,off=00e0_value=0000000000000000
932,marker,147496449,
932,priv,147496462,off=1000_value=0000000000004008
932,priv,147496487,off=0000_value=000000000000ff21
932,priv,147496512,off=0020_value=0000000000000001
932,priv,147496537,off=0070_value=0000000000009070
932,priv,147496562,off=0080_value=001bfa0002032281
932,priv,147496587,off=00e0_value=0000000000000000
933,marker,148131051,
933,priv,148131064,off=1000_value=0000000000006008
933,priv,148131089,off=0000_value=000000000000ff21
933,priv,148131114,off=0020_value=0000000000000001
933,priv,148131139,off=0070_value=0000000000009070
933,priv,148131164,off=0080_value=001bfa0002032281
933,priv,148131189,off=00e0_value=0000000000000000
934,marker,148765653,
934,priv,148765666,off=1000_value=0000000000004008
934,priv,148765691,off=0000_value=000000000000ff21
