phnum=1 shnum=81
seg0 type=1 flags=7 off=0x1000 vaddr=0x100000 filesz=0x3a4bf4 memsz=0x43eadc
sec name='.gnu.linkonce.t._$_Q24RCMP11RCMP_SYSTEM' type=1 flags=0x6 addr=0x42e498 off=0x32f498 size=0x30
sec name='.gnu.linkonce.t.__tfQ24RCMP11RCMP_SYSTEM' type=1 flags=0x6 addr=0x42e4c8 off=0x32f4c8 size=0x40
sec name='.gnu.linkonce.t.Update__Q24RCMP11AV_MS_TIMER' type=1 flags=0x6 addr=0x42e508 off=0x32f508 size=0x80
sec name='.vutext' type=1 flags=0x6 addr=0x42e590 off=0x32f590 size=0xe7e0
sec name='.reginfo' type=1879048198 flags=0x0 addr=0x43cd70 off=0x3a5c44 size=0x18
sec name='.data' type=1 flags=0x3 addr=0x43ce00 off=0x33de00 size=0x19a0c
sec name='.gnu.linkonce.d._vt$Q24RCMP5CODEC' type=1 flags=0x3 addr=0x456810 off=0x357810 size=0x40
sec name='.gnu.linkonce.d._vt$23PS2_SONY_CODEC_INTERNAL' type=1 flags=0x3 addr=0x456850 off=0x357850 size=0x40
sec name='.gnu.linkonce.d._vt$Q24RCMP11RCMP_SYSTEM' type=1 flags=0x3 addr=0x456890 off=0x357890 size=0x18
sec name='.gnu.linkonce.d._vt$Q24RCMP7DECODER' type=1 flags=0x3 addr=0x4568a8 off=0x3578a8 size=0x18
sec name='.vudata' type=1 flags=0x3 addr=0x4568c0 off=0x3578c0 size=0x0
sec name='.rodata' type=1 flags=0x2 addr=0x456900 off=0x357900 size=0x44718
sec name='.gcc_except_table' type=1 flags=0x3 addr=0x49b080 off=0x39c080 size=0x5c
sec name='.lit4' type=1 flags=0x10000003 addr=0x49b100 off=0x39c100 size=0x5d58
sec name='.sdata' type=1 flags=0x10000003 addr=0x4a0e80 off=0x3a1e80 size=0x3d74
sec name='.sbss' type=8 flags=0x10000003 addr=0x4a4c00 off=0x3a5c00 size=0xfbc
sec name='.bss' type=8 flags=0x3 addr=0x4a5c00 off=0x3a5c44 size=0x98edc
sec name='.vubss' type=8 flags=0x3 addr=0x53eadc off=0x3a5c44 size=0x0
sec name='.DVP' type=1 flags=0x1 addr=0x53eb00 off=0x3a5c5c size=0x615
sec name='.DVP.overlay..0x0.3337891.38.0' type=2147480609 flags=0x5 addr=0x0 off=0x3a6271 size=0x800
sec name='.DVP.overlay..0x800.3886870251.940.1' type=2147480609 flags=0x5 addr=0x0 off=0x3a6a71 size=0x800
sec name='.DVP.overlay..0x1000.3886870251.1477.2' type=2147480609 flags=0x5 addr=0x0 off=0x3a7271 size=0x800
sec name='.DVP.overlay..0x1800.3886870251.2009.3' type=2147480609 flags=0x5 addr=0x0 off=0x3a7a71 size=0x800
